year,location,population
2009,Eastern Cape,6524160
2010,Eastern Cape,6499080
2011,Eastern Cape,6976240
2012,Eastern Cape,6466000
2013,Eastern Cape,6452400
2014,Eastern Cape,6490260
2015,Eastern Cape,6468930
2016,Eastern Cape,6498320
2017,Eastern Cape,6247770
2018,Eastern Cape,6523490
2009,Free State,2854320
2010,Free State,2836900
2011,Free State,2874300
2012,Free State,2862000
2013,Free State,2903580
2014,Free State,2890620
2015,Free State,2930370
2016,Free State,2913040
2017,Free State,2949440
2018,Free State,2944230
2009,Gauteng,11774070
2010,Gauteng,12069720
2011,Gauteng,12385620
2012,Gauteng,12720000
2013,Gauteng,13173650
2014,Gauteng,13362300
2015,Gauteng,13656630
2016,Gauteng,14005000
2017,Gauteng,14293440
2018,Gauteng,14721150
2009,KwaZulu-Natal,10499820
2010,KwaZulu-Natal,10573900
2011,KwaZulu-Natal,10608780
2012,KwaZulu-Natal,10759000
2013,KwaZulu-Natal,10861540
2014,KwaZulu-Natal,10962540
2015,KwaZulu-Natal,11058000
2016,KwaZulu-Natal,11147980
2017,KwaZulu-Natal,11230560
2018,KwaZulu-Natal,11372810
2009,Limpopo,5402820
2010,Limpopo,5415900
2011,Limpopo,5435040
2012,Limpopo,5512000
2013,Limpopo,5538310
2014,Limpopo,5563080
2015,Limpopo,5639580
2016,Limpopo,5714040
2017,Limpopo,5728720
2018,Limpopo,5773000
2009,Mpumalanga,3924690
2010,Mpumalanga,3971660
2011,Mpumalanga,4024020
2012,Mpumalanga,4081000
2013,Mpumalanga,4194060
2014,Mpumalanga,4254120
2015,Mpumalanga,4312620
2016,Mpumalanga,4369560
2017,Mpumalanga,4424160
2018,Mpumalanga,4502940
2009,Northern Cape,1121340
2010,Northern Cape,1134760
2011,Northern Cape,1149720
2012,Northern Cape,1166000
2013,Northern Cape,1182940
2014,Northern Cape,1145340
2015,Northern Cape,1161090
2016,Northern Cape,1176420
2017,Northern Cape,1191120
2018,Northern Cape,1212330
2009,North West,3465960
2010,North West,3507440
2011,North West,3553680
2012,North West,3604000
2013,North West,3656360
2014,North West,3708720
2015,North West,3759720
2016,North West,3865380
2017,North West,3913680
2018,North West,3983370
2009,Western Cape,5504760
2010,Western Cape,5725380
2011,Western Cape,5748600
2012,Western Cape,5883000
2013,Western Cape,5968470
2014,Western Cape,6108480
2015,Western Cape,6247770
2016,Western Cape,6330260
2017,Western Cape,6466080
2018,Western Cape,6638950
