year,cases,location
2009,4695,KwaZulu-Natal
2010,4603,KwaZulu-Natal
2011,4442,KwaZulu-Natal
2012,3901,KwaZulu-Natal
2013,4092,KwaZulu-Natal
2014,3750,KwaZulu-Natal
2015,3474,KwaZulu-Natal
2016,3331,KwaZulu-Natal
2017,3216,KwaZulu-Natal
2018,3192,KwaZulu-Natal
2009,9404,Eastern Cape
2010,9006,Eastern Cape
2011,9302,Eastern Cape
2012,9173,Eastern Cape
2013,9367,Eastern Cape
2014,9620,Eastern Cape
2015,9224,Eastern Cape
2016,8797,Eastern Cape
2017,8050,Eastern Cape
2018,8094,Eastern Cape
2009,18176,Gauteng
2010,15645,Gauteng
2011,13987,Gauteng
2012,12351,Gauteng
2013,11975,Gauteng
2014,10677,Gauteng
2015,9902,Gauteng
2016,9510,Gauteng
2017,9410,Gauteng
2018,10116,Gauteng
2009,4675,Limpopo
2010,4905,Limpopo
2011,4883,Limpopo
2012,5665,Limpopo
2013,6298,Limpopo
2014,6453,Limpopo
2015,4312,Limpopo
2016,4369,Limpopo
2017,3828,Limpopo
2018,3821,Limpopo
2009,5021,North West
2010,4759,North West
2011,4706,North West
2012,4941,North West
2013,5451,North West
2014,4780,North West
2015,4585,North West
2016,4164,North West
2017,4326,North West
2018,4177,North West
2009,8745,Western Cape
2010,9612,Western Cape
2011,9222,Western Cape
2012,9069,Western Cape
2013,8683,Western Cape
2014,7944,Western Cape
2015,7369,Western Cape
2016,7130,Western Cape
2017,7115,Western Cape
2018,7075,Western Cape
2009,4523,Free State
2010,4581,Free State
2011,4838,Free State
2012,4791,Free State
2013,5085,Free State
2014,4705,Free State
2015,4094,Free State
2016,3928,Free State
2017,3488,Free State
2018,3284,Free State
2009,4695,Mpumalanga
2010,4603,Mpumalanga
2011,4442,Mpumalanga
2012,3901,Mpumalanga
2013,4092,Mpumalanga
2014,3750,Mpumalanga
2015,3474,Mpumalanga
2016,3331,Mpumalanga
2017,3216,Mpumalanga
2018,3192,Mpumalanga
2009,1821,Northern Cape
2010,1739,Northern Cape
2011,1788,Northern Cape
2012,1676,Northern Cape
2013,1756,Northern Cape
2014,1666,Northern Cape
2015,1493,Northern Cape
2016,1636,Northern Cape
2017,1528,Northern Cape
2018,1437,Northern Cape
